"player","team","posQB","posRB","posTE","posWR","year","lag_ppg","lag_age","lag_starts","lag_rk_ovr","lag_pass_comp","lag_pass_att","lag_pass_yds","lag_pass_td","lag_pass_int","lag_rush_att","lag_rush_yds","lag_y_a","lag_rush_td","lag_rec_tgt","lag_rec_rec","lag_rec_yds","lag_y_r","lag_rec_td","lag_fumb_times","lag_fumb_fl","lag_score_tds","lag_score_2pm","lag_score_2pp","lag_rk_vbd","lag_rk_pos","lag_rk_probowl","lag_rk_allpro"
"Luke Schoonmaker","DAL",0,0,1,0,2023,1.35294117647059,25,0,342,0,0,0,0,0,0,0,0,0,15,8,65,8.13,2,0,0,2,0,0,0,60,0,0
"Tyler Scott","CHI",0,0,0,1,2023,1.61764705882353,22,4,343,0,0,0,0,0,7,41,5.86,0,32,17,168,9.88,0,1,1,0,0,0,0,136,0,0
"Patrick Taylor","GNB",0,1,0,0,2023,2.22727272727273,25,0,344,0,0,0,0,0,32,141,4.41,0,17,11,49,4.45,0,0,0,0,0,0,0,88,0,0
"River Cracraft","MIA",0,0,0,1,2023,2.25,29,1,345,0,0,0,0,0,0,0,0,0,12,9,121,13.44,1,0,0,1,0,0,0,139,0,0
"Kevin Harris","NWE",0,1,0,0,2023,4.875,23,0,346,0,0,0,0,0,16,65,4.06,1,3,3,58,19.33,0,0,0,1,0,0,0,89,0,0
"Davis Mills","HOU",1,0,0,0,2023,3,25,0,347,18,39,173,2,0,2,9,4.5,0,0,0,0,0,0,0,0,0,0,1,0,59,0,0
"Deven Thompkins","TAM",0,0,0,1,2023,1.55882352941176,24,1,348,0,0,0,0,0,8,56,7,0,25,17,83,4.88,1,3,1,1,0,0,0,140,0,0
"Melvin Gordon","BAL",0,1,0,0,2023,4.625,30,0,349,0,0,0,0,0,26,81,3.12,1,3,3,46,15.33,0,1,1,1,0,0,0,92,0,0
"Damien Harris","BUF",0,1,0,0,2023,3,26,0,350,0,0,0,0,0,23,94,4.09,1,2,2,16,8,0,0,0,1,0,0,0,91,0,0
"Connor Heyward","PIT",0,0,1,0,2023,1.67647058823529,24,7,351,0,1,0,0,0,1,0,0,0,34,23,167,7.26,0,0,0,0,0,0,0,62,0,0
"Ray-Ray McCloud","SFO",0,0,0,1,2023,1.91666666666667,27,1,352,0,0,0,0,0,3,30,10,0,15,12,135,11.25,0,1,0,0,0,0,0,141,0,0
"MyCole Pruitt","ATL",0,0,1,0,2023,1.26470588235294,31,8,353,0,0,0,0,0,0,0,0,0,12,9,110,12.22,1,1,0,1,0,0,0,61,0,0
"Trey Sermon","IND",0,1,0,0,2023,1.32142857142857,24,0,354,0,0,0,0,0,35,160,4.57,0,6,3,13,4.33,0,0,0,0,0,0,0,90,0,0
"Davis Allen","LAR",0,0,1,0,2023,1.4,22,1,355,0,0,0,0,0,0,0,0,0,11,10,95,9.5,1,0,0,1,0,0,0,63,0,0
"Luke Farrell","JAX",0,0,1,0,2023,1.32352941176471,26,8,356,0,0,0,0,0,0,0,0,0,15,13,155,11.92,0,0,0,0,0,0,0,64,0,0
"Lucas Krull","DEN",0,0,1,0,2023,2.85714285714286,25,2,357,0,0,0,0,0,0,0,0,0,14,8,95,11.88,1,0,0,1,0,0,0,65,0,0
"John Metchie","HOU",0,0,0,1,2023,1.5,23,0,358,0,0,0,0,0,1,4,4,0,30,16,158,9.88,0,0,0,0,0,0,0,142,0,0
"Donovan Peoples-Jones","2TM",0,0,0,1,2023,1.5,24,6,359,0,0,0,0,0,0,0,0,0,25,13,155,11.92,0,1,0,0,0,0,0,144,0,0
"Kyle Philips","TEN",0,0,0,1,2023,2.61111111111111,24,0,360,0,0,0,0,0,0,0,0,0,22,15,181,12.07,0,1,1,0,0,0,0,143,0,0
"Irv Smith Jr.","CIN",0,0,1,0,2023,2.08333333333333,25,6,361,0,0,0,0,0,0,0,0,0,26,18,115,6.39,1,1,1,1,0,0,0,66,0,0
"John Bates","WAS",0,0,1,0,2023,1.44117647058824,26,4,362,0,0,0,0,0,0,0,0,0,28,19,151,7.95,0,0,0,0,0,0,0,68,0,0
"Jalen Guyton","LAC",0,0,0,1,2023,2.5,26,3,363,0,0,0,0,0,0,0,0,0,21,10,89,8.9,1,0,0,1,0,0,0,146,0,0
"Charlie Kolar","BAL",0,0,1,0,2023,1.23333333333333,24,3,364,0,0,0,0,0,0,0,0,0,9,7,87,12.43,1,0,0,1,0,0,0,71,0,0
"David Moore","TAM",0,0,0,1,2023,2.5,28,0,365,0,0,0,0,0,0,0,0,0,7,5,94,18.8,1,0,0,1,0,0,0,145,0,0
"Ronnie Rivers","LAR",0,1,0,0,2023,1.94444444444444,24,1,366,0,0,0,0,0,32,129,4.03,0,5,5,22,4.4,0,0,0,0,0,0,0,93,0,0
"Jeremy Ruckert","NYJ",0,0,1,0,2023,1.53333333333333,23,6,367,0,0,0,0,0,0,0,0,0,22,16,151,9.44,0,0,0,0,0,0,0,69,0,0
"Trent Sherfield","BUF",0,0,0,1,2023,1.20588235294118,27,1,368,0,0,0,0,0,0,0,0,0,22,11,86,7.82,1,0,0,1,0,0,0,147,0,0
"Josh Whyle","TEN",0,0,1,0,2023,1.77272727272727,24,3,369,0,0,0,0,0,0,0,0,0,15,9,94,10.44,1,0,0,1,0,0,0,67,0,0
"Brock Wright","DET",0,0,1,0,2023,1.53571428571429,25,4,370,0,0,0,0,0,0,0,0,0,14,13,91,7,1,0,0,1,0,0,0,70,0,0
